area_type,availability,location,size,total_sqft,bath,balcony,price
Appartment,Ready To Move,Hill Park,3 BHK,2386,3,,334
Plot,Ready To Move,Korangi Creek,4 Bedroom,1500,4,0,110
Appartment,Ready To Move,Soldier Bazar,2 BHK,1290,2,1,49.02
House,20-Dec,PECHS,3 BHK,1531,3,2,72
Appartment,Ready To Move,Garden East,3 BHK,1839,3,3,165
Plot,Ready To Move,Karimabad,4 Bedroom,4200,4,1,760
Appartment,18-May,Khayaban-e-Bukhari,3 BHK,1400,2,2,40.43
Appartment,Ready To Move,Jamshed Quarter,2 BHK,550,1,1,15
Appartment,Ready To Move,Civic Centre,2 BHK,1140,2,2,39
Appartment,21-Jun,Korangi Road,3 BHK,1210 - 1477,3,0,57.76
House,Ready To Move,Sunset Boulevard,4 Bedroom,2000,4,0,100
House,Ready To Move,Khayaban-e-Jami,2 BHK,1100,2,1,46
House,Ready To Move,Khayaban-e-Ittehad,2 BHK,1200,2,2,55
Appartment,18-Apr,Khayaban-e-Bahria,3 BHK,1618,3,1,68
Appartment,18-Oct,Khayaban-e-Badban,4 BHK,2830,5,2,160
Appartment,Ready To Move,Khayaban-e-Hilal,3 BHK,1315,2,2,74
Appartment,Ready To Move,Khayaban-e-Shahbaz,2 BHK,1141,2,1,42.75
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1080,2,2,55
Appartment,Ready To Move,Khayaban-e-Rahat,2 BHK,1200,2,2,60
Appartment,Ready To Move,Khayaban-e-Muhafiz,2 BHK,1111,2,2,41.88
Appartment,Ready To Move,Khayaban-e-Bukhari,2 BHK,1022,2,1,45.9
Appartment,Ready To Move,Khayaban-e-Nishat,2 BHK,1275,2,2,65
Appartment,Ready To Move,Commercial Avenue,2 BHK,900,2,1,70
Appartment,Ready To Move,Khayaban-e-Hafiz,2 BHK,1224,2,3,39.2
Appartment,Ready To Move,Khayaban-e-Muslim,2 BHK,1135,2,3,43
Appartment,Ready To Move,Khayaban-e-Shaheen,2 BHK,1050,2,2,52.1
Appartment,Ready To Move,Khayaban-e-Shujaat,3 BHK,1535,3,2,86
Appartment,17-Nov,Jamshed Quarter,2 BHK,1392,2,1,130
Appartment,Ready To Move,Saba Avenue,2 BHK,1050,2,2,72
Appartment,19-Jun,Beach Avenue,3 BHK,1513,3,1,103
Appartment,Ready To Move,Khayaban-e-Mujahid,3 BHK,1621,3,3,72
Appartment,Ready To Move,Khayaban-e-Janbaz,2 BHK,892,2,1,39
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1205,2,1,40
Appartment,18-Dec,Khayaban-e-Tanzeem,3 BHK,1355,3,2,83.87
Plot,Ready To Move,Khayaban-e-Tauheed,5 Bedroom,1250,5,,300
Plot,Ready To Move,Khayabane-e-Amir Khusro,7 Bedroom,1650,9,,345
Appartment,Ready To Move,Khayaban-e-Tariq,4 BHK,1200,6,3,70
Appartment,Ready To Move,Khaliq-uz-Zaman,2 BHK,1400,2,2,168
Appartment,18-Nov,Dhoraji Colony,2 BHK,726,2,1,35
Plot,Ready To Move,Muslimabad,3 Bedroom,1500,3,2,149
Appartment,Ready To Move,Gulshan-E-Iqbal one,4 BHK,3895,4,2,405
Appartment,18-Dec,Gulshan-E-Iqbal two,2 BHK,1079,2,2,41
Appartment,Ready To Move,PIB Colony,2 BHK,1170,2,2,46
Appartment,Ready To Move,DHA Defence,2 BHK,1104,2,2,39
Appartment,Ready To Move,North Nazimabad,2 BHK,950,2,1,45
House,Ready To Move,Saddar Town,4 Bedroom,4818,4,3,390
House,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1650,2,1,52
Appartment,21-May,Tariq Road,3 BHK,1559,3,2,127
House,Ready To Move,Clifton,2 BHK,1100,2,1,38
Appartment,Ready To Move,Frere Town,3 BHK,1750,3,3,150
Appartment,18-Jul,Nazimabad,2 BHK,1215,2,1,45.5
Appartment,21-Feb,Khalid Bin Walid Road,3 BHK,1868,3,1,135
House,18-Dec,Garden West,2 BHK,1130,2,1,32.63
Appartment,Ready To Move,Clifton,3 BHK,1570,3,3,64.5
Appartment,Ready To Move,Clifton,3 BHK,1691,3,1,98
House,Ready To Move,Gulistan-e-Jauhar ,5 Bedroom,4355,3,1,350
Appartment,17-Oct,Malir,2 BHK,1225,2,2,55
Appartment,Ready To Move,Mehmoodabad,3 BHK,1690,3,2,112
Appartment,Ready To Move,Jamshed Town ,2 BHK,1418,2,2,103
Appartment,Ready To Move,Clifton Block nine,4 BHK,1896,3,1,125
Appartment,17-Sep,DHA Phase seven,1 BHK,605,1,1,40
Plot,Ready To Move,DHA Phase six,5 Bedroom,800,5,2,95
Appartment,Ready To Move,Dhoraji Colony,2 BHK,900,2,2,32.5
Plot,Ready To Move,Cornish Society Scheme ,1 Bedroom,750,2,0,50
Plot,Ready To Move,Cornish Society Scheme ,3 Bedroom,780,3,1,62
Appartment,Ready To Move,North Karachi,2 BHK,908,2,1,26
House,18-May,Punjab Colony,4 Bedroom,3369 - 3464,6,0,143
Appartment,Ready To Move, North Karachi,4 BHK,3216,4,1,226
Plot,Ready To Move,Airport Road,5 Bedroom,2400,4,1,225
House,Ready To Move,Kashmir Road,2 BHK,1400,2,2,68
Appartment,Ready To Move,Clifton,2 BHK,1092,2,2,44
Appartment,Ready To Move,Defence Garden,2 BHK,1255,2,2,74
House,Ready To Move,Kashmir Road,3 BHK,1500,2,1,100
Appartment,18-Feb,Navy Housing Scheme Karsaz,2 BHK,1296,2,2,72
Appartment,Ready To Move,Clifton Block nine,2 BHK,925,2,3,38
House,Ready To Move,DHA Defence,2 BHK,1023,2,2,42
House,Ready To Move,North Nazimabad,2 BHK,600,3,2,75
Appartment,18-May,Saddar Town,2 BHK,1020,2,1,44.5
Appartment,17-Jul,Gulshan-e-Iqbal Town,3 BHK,1530,3,2,77
Appartment,Ready To Move,Delhi Mercentile Society,3 BHK,1650,3,2,71
House,Ready To Move,Old Golimar,3 BHK,1605,2,3,85
Appartment,Ready To Move,Kehkashan,2 BHK,1925,2,1,50
Appartment,Ready To Move,Kehkashan,2 BHK,1190,2,2,50.66
Appartment,Ready To Move,Napier Road,3 BHK,1374,3,2,68
House,Ready To Move,Napier Road,2 BHK,1140,2,2,65
Appartment,Ready To Move,Kehkashan,3 BHK,1725,3,2,130
Appartment,Ready To Move,Kehkashan,3 BHK,1075,2,1,50
Appartment,Ready To Move,Kehkashan,3 BHK,1574,3,1,93.34
House,Ready To Move,Kehkashan,1 BHK,965,1,1,32
Appartment,Ready To Move,Napier Road,3 BHK,1550,3,2,83
Appartment,Ready To Move,I I Chundrigar Road,2 BHK,1205,2,2,60
Appartment,Ready To Move,I I Chundrigar Road,3 BHK,1082,2,1,55
Appartment,Ready To Move,I I Chundrigar Road,3 BHK,1215,2,2,52.85
Appartment,Ready To Move,Zaibunnisa Street,4 BHK,2483,5,2,230
Plot,18-Jul,Zaibunnisa Street,2 Bedroom,1200,3,1,46.14
Appartment,Ready To Move,Zaibunnisa Street,1 BHK,1500,1,1,19.5
Plot,18-May,Cornish Society Scheme ,4 Bedroom,2360,4,2,600
Appartment,Ready To Move,North Karachi,4 BHK,3198,4,,250
Appartment,Ready To Move,Punjab Colony,3 BHK,1452,3,3,60.98
Appartment,18-Apr, North Karachi,3 BHK,1329,2,2,41
Appartment,Ready To Move,Airport Road,2 BHK,1125,2,1,44
Plot,Ready To Move,Kashmir Road,2 Bedroom,1200,2,0,70
House,Ready To Move,Clifton,3 BHK,1350,3,3,39.97
Appartment,Ready To Move,Defence Garden,3 BHK,1125 - 1500,3,0,51.19
Appartment,19-Oct,Kashmir Road,3 BHK,2600,3,2,195
Plot,Ready To Move,Navy Housing Scheme Karsaz,2 Bedroom,1200,2,1,160
House,18-Dec,Clifton Block nine,3 BHK,1220,3,1,35.23
Appartment,Ready To Move,Abid Town,2 BHK,1255,2,1,80
Appartment,Ready To Move,Gohar Green City,3 BHK,1904,3,3,155
Appartment,Ready To Move,Hill Park,2 BHK,1329,2,2,70
Plot,Ready To Move,Korangi Creek,2 Bedroom,1200,2,1,60
Appartment,Ready To Move,Soldier Bazar,3 BHK,2135,3,2,160
Appartment,Ready To Move,PECHS,3 BHK,2770,4,3,315
House,19-Dec,Garden East,1 BHK,813,1,1,39
Plot,Ready To Move,Karimabad,4 Bedroom,3884,4,3,240
Plot,Ready To Move,Khayaban-e-Bukhari,3 Bedroom,3876,3,1,300
Appartment,Ready To Move,Jamshed Quarter,2 BHK,800,2,2,30
Plot,Ready To Move,Civic Centre,4 Bedroom,4750,2,1,120
Appartment,Ready To Move,Korangi Road,3 BHK,1500,3,3,70
Appartment,Ready To Move,Sunset Boulevard,3 BHK,1880,3,2,95
Appartment,Ready To Move,Khayaban-e-Jami,3 BHK,1440,2,2,55
Appartment,Ready To Move,Khayaban-e-Ittehad,3 BHK,1575,3,,90
Appartment,Ready To Move,Khayaban-e-Bahria,3 BHK,1630,2,2,97.78
Appartment,Ready To Move,Khayaban-e-Badban,3 BHK,1180,3,1,55
House,Ready To Move,Khayaban-e-Hilal,2 BHK,1090,2,1,36
Appartment,Ready To Move,Khayaban-e-Shahbaz,2 BHK,1020,2,2,48.45
House,Ready To Move,Khayaban-e-Sehar,4 BHK,2425,4,3,173
Appartment,18-Mar,Khayaban-e-Rahat,2 BHK,1097,2,1,33.82
Appartment,Ready To Move,Khayaban-e-Muhafiz,2 BHK,1070,2,1,50
Appartment,Ready To Move,Khayaban-e-Bukhari,2 BHK,1000,2,1,58
Plot,Ready To Move,Khayaban-e-Nishat,8 Bedroom,1120,8,,150
Appartment,18-Apr,Commercial Avenue,2 BHK,1150,2,1,56
House,Ready To Move,Khayaban-e-Hafiz,3 BHK,1900,4,2,145
Appartment,Ready To Move,Khayaban-e-Muslim,2 BHK,1141,2,2,49
House,Ready To Move,Khayaban-e-Shaheen,2 BHK,937,2,1,44
House,Ready To Move,Khayaban-e-Shujaat,2 BHK,1075,2,1,60
Appartment,18-Feb,Jamshed Quarter,2 BHK,1000,2,1,65.3
Appartment,Ready To Move,Saba Avenue,3 BHK,1450,3,,77.41
Plot,Ready To Move,Beach Avenue,5 Bedroom,897,2,1,85
Appartment,Ready To Move,Khayaban-e-Mujahid,2 BHK,936,2,2,43
House,Ready To Move,Khayaban-e-Janbaz,2 BHK,1280,2,1,75
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1050,2,3,45
Appartment,Ready To Move,Khayaban-e-Tanzeem,2 BHK,1350,2,1,86
Appartment,Ready To Move,Khayaban-e-Tauheed,2 BHK,1325,2,1,70
Appartment,18-Apr,Khayabane-e-Amir Khusro,2 BHK,1174,2,1,59
Appartment,Ready To Move,Khayaban-e-Tariq,3 BHK,1890,3,2,162
Appartment,Ready To Move,Khaliq-uz-Zaman,1 BHK,735,1,1,75
House,Ready To Move,Dhoraji Colony,1 BHK,500,1,0,24
Appartment,Ready To Move,Muslimabad,3 BHK,1304,3,3,80
House,Ready To Move,Gulshan-E-Iqbal one,3 BHK,1653,3,2,120
Appartment,Ready To Move,Gulshan-E-Iqbal two,3 BHK,1075,2,1,52
Appartment,Ready To Move,PIB Colony,2 BHK,1212,3,1,42
House,Ready To Move,DHA Defence,2 BHK,1100,2,1,50
Appartment,Ready To Move,North Nazimabad,4 BHK,3436,6,3,500
Plot,Ready To Move,Saddar Town,3 Bedroom,1200,4,0,145
Appartment,Ready To Move,Gulshan-e-Iqbal Town,2 BHK,1140,2,2,50
Plot,Ready To Move,Tariq Road,2 Bedroom,1200,2,1,100
Appartment,Ready To Move,Clifton,3 BHK,1532,3,2,83
Plot,Ready To Move,Frere Town,3 Bedroom,2776,4,2,195
Appartment,Ready To Move,Nazimabad,3 BHK,1531,2,0,75
Appartment,Ready To Move,Khalid Bin Walid Road,3 BHK,1270,2,2,50.79
Appartment,18-Dec,Garden West,2 BHK,1325,2,1,53
Plot,Ready To Move,Clifton,3 Bedroom,1200,3,1,160
Appartment,17-Apr,Clifton,3 BHK,1156,2,2,44
Plot,Ready To Move,Gulistan-e-Jauhar ,4 Bedroom,2000,4,2,320
Appartment,Ready To Move,Malir,2 BHK,1260,2,2,70
Appartment,Ready To Move,Mehmoodabad,2 BHK,1934,2,0,90
Appartment,Ready To Move,Jamshed Town ,2 BHK,1060,2,1,40
Appartment,Ready To Move,Clifton Block nine,3 BHK,1476,3,1,95
Appartment,Ready To Move,DHA Phase seven,2 BHK,1185,2,1,85
Appartment,Ready To Move,DHA Phase six,3 BHK,1265,2,1,82
House,18-May,Dhoraji Colony,4 BHK,3200,5,1,150
Appartment,Ready To Move,Cornish Society Scheme ,2 BHK,1196,2,2,56.81
House,Ready To Move,Cornish Society Scheme ,2 BHK,1280,2,1,69
Plot,Ready To Move,North Karachi,4 Bedroom,800,4,2,86
House,Ready To Move,Punjab Colony,2 BHK,1175,2,,45
House,Ready To Move, North Karachi,3 BHK,1850,3,3,98
Plot,Ready To Move,Airport Road,4 Bedroom,2400,4,2,525
Appartment,Ready To Move,Kashmir Road,2 BHK,1195,2,1,70
Appartment,Ready To Move,Clifton,3 BHK,2000,3,3,185
Carpet  Area,Ready To Move,Defence Garden,7 BHK,600,4,0,100
Plot,18-Feb,Kashmir Road,4 Bedroom,800,5,3,155
Appartment,Ready To Move,Navy Housing Scheme Karsaz,2 BHK,1180,2,2,36.5
Appartment,Ready To Move,Clifton Block nine,2 BHK,1050,2,1,49.87
House,18-Dec,DHA Defence,3 BHK,1400,2,1,40.44
Plot,17-Dec,North Nazimabad,4 Bedroom,2360,4,2,150
Appartment,Ready To Move,Saddar Town,2 BHK,1030,2,1,77.25
Appartment,Ready To Move,Gulshan-e-Iqbal Town,2 BHK,1512,1,2,65.01
House,Ready To Move,Tariq Road,2 BHK,929,2,1,48
Appartment,Ready To Move,Clifton,3 BHK,1252,3,3,61
House,Ready To Move,Frere Town,3 BHK,1485,3,2,115
Appartment,Ready To Move,Nazimabad,3 BHK,1124,2,2,55
Plot,Ready To Move,Khalid Bin Walid Road,6 Bedroom,2400,6,3,370
House,Ready To Move,Garden West,3 BHK,1407,3,1,120
Appartment,19-Mar,Clifton,3 BHK,1482,2,3,97
Appartment,Ready To Move,Clifton,2 BHK,1163,2,1,98.86
Appartment,Ready To Move,Gulistan-e-Jauhar ,3 BHK,1570,3,2,140
Appartment,18-Feb,Malir,3 BHK,3480,4,,284
Appartment,19-Sep,Mehmoodabad,1 BHK,520,1,1,14.04
Appartment,Ready To Move,Jamshed Town ,3 BHK,2000,3,2,160
Appartment,Ready To Move,Clifton Block nine,2 BHK,1352,2,2,75
Appartment,18-Apr,DHA Phase seven,2 BHK,1152,2,1,65
House,20-Dec,DHA Phase six,3 BHK,1575,3,2,93
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1965,4,2,125
House,Ready To Move,Cornish Society Scheme ,3 BHK,1300,2,2,70
Plot,Ready To Move,Cornish Society Scheme ,4 Bedroom,1,4,,120
Appartment,18-Apr,North Karachi,2 BHK,957,2,1,47
Appartment,Ready To Move,Punjab Colony,3 BHK,1740,3,3,60
Plot,Ready To Move, North Karachi,5 Bedroom,1080,6,3,65
Appartment,Ready To Move,Airport Road,2 BHK,1060,2,0,35
Carpet  Area,Ready To Move,Kashmir Road,2 BHK,975,2,2,50
Appartment,18-May,Clifton,2 BHK,1150,2,2,51
Appartment,Ready To Move,Defence Garden,3 BHK,1738,2,3,79
Appartment,18-May,Kashmir Road,3 BHK,1250,3,2,55
House,Ready To Move,Navy Housing Scheme Karsaz,3 BHK,1788,3,2,90
Appartment,19-Dec,Clifton Block nine,2 BHK,1151,2,1,59
Appartment,Ready To Move,Abid Town,3 BHK,1300,2,2,60
Appartment,Ready To Move,Gohar Green City,2 BHK,1150,2,1,52.8
Appartment,Ready To Move,Hill Park,2 BHK,1380,2,1,75
Appartment,19-Jun,Korangi Creek,3 BHK,1645,3,2,117
Appartment,Ready To Move,Soldier Bazar,2 BHK,1141,2,1,45.9
Appartment,Ready To Move,PECHS,2 BHK,1175,2,2,82.5
Appartment,Ready To Move,Garden East,3 BHK,1355,2,1,61
House,Ready To Move,Karimabad,2 BHK,1150,2,0,70
Appartment,18-May,Khayaban-e-Bukhari,5 BHK,5800,5,,80
House,Ready To Move,Jamshed Quarter,2 BHK,1000,2,2,45
Appartment,20-Jan,Civic Centre,2 BHK,1007,2,1,65
Appartment,Ready To Move,Korangi Road,4 BHK,3000,5,2,100
Appartment,Ready To Move,Sunset Boulevard,3 BHK,1436,3,3,70
Appartment,Ready To Move,Khayaban-e-Jami,4 BHK,4000,4,3,220
House,Ready To Move,Khayaban-e-Ittehad,3 BHK,2372,3,,140
Plot,Ready To Move,Khayaban-e-Bahria,6 Bedroom,1500,6,,240
Appartment,18-Jan,Khayaban-e-Badban,3 BHK,167Sq. Meter,3,2,10
Plot,Ready To Move,Khayaban-e-Hilal,2 Bedroom,1200,2,0,150
Appartment,18-Mar,Khayaban-e-Shahbaz,2 BHK,1016,2,1,58
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1100,2,2,48
Appartment,Ready To Move,Khayaban-e-Rahat,2 BHK,1080,2,1,45
Appartment,Ready To Move,Khayaban-e-Muhafiz,2 BHK,1070,2,1,60
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1532,3,1,115
Appartment,Ready To Move,Khayaban-e-Nishat,2 BHK,1040,2,2,42.12
Plot,Ready To Move,Commercial Avenue,3 Bedroom,3100,3,3,250
Appartment,21-Jun,Khayaban-e-Hafiz,2 BHK,1076 - 1199,2,0,48.905
Appartment,Ready To Move,Khayaban-e-Muslim,3 BHK,1430,2,2,51.6
Plot,Ready To Move,Khayaban-e-Shaheen,2 Bedroom,1160,1,0,163
Appartment,Ready To Move,Khayaban-e-Shujaat,4 BHK,3262,5,2,205
Plot,Ready To Move,Jamshed Quarter,7 Bedroom,2100,7,0,410
House,Ready To Move,Saba Avenue,2 BHK,1190,2,2,100
Appartment,Ready To Move,Beach Avenue,3 BHK,1827,3,3,100
Appartment,Ready To Move,Khayaban-e-Mujahid,2 BHK,1210,2,1,75
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1500,3,3,95
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1050,2,2,53.5
Appartment,21-Mar,Khayaban-e-Tanzeem,2 BHK,1251,2,1,88.73
Appartment,Ready To Move,Khayaban-e-Tauheed,3 BHK,1600,2,2,115
Appartment,18-Apr,Khayabane-e-Amir Khusro,2 BHK,1128,2,1,65.5
Appartment,Ready To Move,Khayaban-e-Tariq,3 BHK,1820,3,2,93
Appartment,Ready To Move,Khaliq-uz-Zaman,3 BHK,2072,4,2,159
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1510,2,3,59
Appartment,Ready To Move,Muslimabad,3 BHK,1925,2,3,114
Plot,Ready To Move,Gulshan-E-Iqbal one,3 Bedroom,2651,2,2,225
Appartment,Ready To Move,Gulshan-E-Iqbal two,3 BHK,2072,4,2,147
Appartment,Ready To Move,PIB Colony,2 BHK,1000,2,2,36
Plot,Ready To Move,DHA Defence,3 Bedroom,1752,3,2,145
Appartment,Ready To Move,North Nazimabad,2 BHK,960,2,3,56
Appartment,Ready To Move,Saddar Town,2 BHK,1180,2,2,63
House,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,2270,3,1,180
House,Ready To Move,Tariq Road,2 Bedroom,650,2,0,59
Appartment,Ready To Move,Clifton,2 BHK,1200,2,1,75
Appartment,Ready To Move,Frere Town,3 BHK,1180,2,1,46
Appartment,18-Jan,Nazimabad,3 BHK,1300,3,2,47
House,Ready To Move,Khalid Bin Walid Road,2 BHK,1157,2,0,40
Appartment,21-Jan,Garden West,3 BHK,1300,3,2,69
Appartment,Ready To Move,Clifton,3 BHK,1305,2,1,59
Appartment,Ready To Move,Clifton,3 BHK,2006,4,2,196
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1290,2,1,80
Appartment,Ready To Move,Malir,2 BHK,1170,2,3,45
Plot,Ready To Move,Mehmoodabad,4 Bedroom,971,2,2,135
Appartment,Ready To Move,Jamshed Town ,2 BHK,1400,2,3,78
Appartment,Ready To Move,Clifton Block nine,2 BHK,1200,2,2,75
House,Ready To Move,DHA Phase seven,3 BHK,1155,2,0,60
House,Ready To Move,DHA Phase six,3 BHK,1725,3,2,85
Appartment,21-Oct,Dhoraji Colony,2 BHK,700,2,1,40
House,Ready To Move,Cornish Society Scheme ,4 Bedroom,7000,5,,2050
Appartment,22-Jun,Cornish Society Scheme ,2 BHK,1112,2,1,88
Appartment,Ready To Move,North Karachi,2 BHK,1178,2,,78
Appartment,20-Jan,Punjab Colony,2 BHK,1274,2,1,81
Appartment,Ready To Move, North Karachi,2 BHK,915,2,1,32
Plot,Ready To Move,Airport Road,8 Bedroom,1650,6,2,135
Appartment,Ready To Move,Kashmir Road,1 BHK,760,1,2,21.28
House,Ready To Move,Clifton,3 BHK,1540,3,2,68
Appartment,Ready To Move,Defence Garden,2 BHK,1206,2,3,38.5
Appartment,Ready To Move,Kashmir Road,3 BHK,1645,3,2,95
Plot,Ready To Move,Navy Housing Scheme Karsaz,4 Bedroom,1200,4,2,170
Plot,Ready To Move,Clifton Block nine,4 Bedroom,1200,4,1,140
Appartment,Ready To Move,DHA Defence,4 BHK,2342,3,2,115
Appartment,Ready To Move,North Nazimabad,3 BHK,1200,2,1,55
Appartment,Ready To Move,Saddar Town,2 BHK,1056,2,2,33
Plot,Ready To Move,Gulshan-e-Iqbal Town,8 Bedroom,4800,8,,225
Appartment,Ready To Move,Tariq Road,3 BHK,1450,3,3,54.3
Appartment,18-Apr,Clifton,2 BHK,1161,2,2,36.69
Appartment,Ready To Move,Frere Town,2 BHK,1097,2,3,65
House,Ready To Move,Nazimabad,2 BHK,850,2,2,35
Appartment,Ready To Move,Khalid Bin Walid Road,3 BHK,1715,3,2,115
Appartment,Ready To Move,Garden West,3 BHK,2300,3,,317
Appartment,Ready To Move,Clifton,2 BHK,1200,2,1,59
Appartment,18-Oct,Clifton,2 BHK,1080,2,2,38
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1200,2,1,50.3
Plot,Ready To Move,Malir,4 Bedroom,2400,4,0,550
Appartment,Ready To Move,Mehmoodabad,3 BHK,1400,2,1,78
Plot,Ready To Move,Jamshed Town ,4 Bedroom,1500,4,3,200
Carpet  Area,20-Dec,Clifton Block nine,1 BHK,381 - 535,1,0,19.695
Appartment,Ready To Move,DHA Phase seven,2 BHK,1230,2,1,57
House,Ready To Move,DHA Phase six,3 BHK,1640,3,3,88
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1700,3,2,125
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1478,2,,44
Appartment,Ready To Move,Cornish Society Scheme ,4 BHK,6600,4,,986
Appartment,Ready To Move,North Karachi,2 BHK,1020,2,2,40.79
Plot,Ready To Move,Punjab Colony,2 Bedroom,1200,2,1,150
House,Ready To Move, North Karachi,3 BHK,1275,2,2,95
House,Ready To Move,Airport Road,4 Bedroom,1600,3,1,165
Appartment,Ready To Move,Kashmir Road,2 BHK,1110,2,2,38.85
Appartment,Ready To Move,Clifton,3 BHK,1627.86,3,2,88
House,Ready To Move,Defence Garden,2 BHK,620,2,1,22
Plot,Ready To Move,Kashmir Road,4 Bedroom,3004,4,2,285
Appartment,18-May,Navy Housing Scheme Karsaz,2 BHK,1133,2,1,52
Appartment,Ready To Move,Clifton Block nine,2 BHK,1182,2,2,82.5
Appartment,Ready To Move,Abid Town,3 BHK,1500,3,3,100
Appartment,Ready To Move,Gohar Green City,4 BHK,3900,5,,360
Appartment,Ready To Move,Hill Park,2 BHK,1200,2,2,58
Appartment,Ready To Move,Korangi Creek,2 BHK,1128,2,1,48.79
Appartment,Ready To Move,Soldier Bazar,3 BHK,2215 - 2475,,,293
House,Ready To Move,PECHS,2 BHK,900,2,2,110
House,Ready To Move,Garden East,2 BHK,1100,2,1,45
Appartment,Ready To Move,Karimabad,2 BHK,635,1,1,22
Appartment,Ready To Move,Khayaban-e-Bukhari,4 BHK,2062,3,,140
House,Ready To Move,Jamshed Quarter,3 BHK,1874,4,1,130
Plot,18-Apr,Civic Centre,4 Bedroom,600,3,2,78
Appartment,18-Jun,Korangi Road,2 BHK,1171,2,2,75
Appartment,Ready To Move,Sunset Boulevard,3 BHK,2020,3,3,85
Appartment,18-Jan,Khayaban-e-Jami,2 BHK,1059,2,2,34.5
Appartment,Ready To Move,Khayaban-e-Ittehad,3 BHK,1315,2,1,59.1
Appartment,Ready To Move,Khayaban-e-Bahria,3 BHK,1760,3,2,110
House,Ready To Move,Khayaban-e-Badban,2 Bedroom,1200,2,1,125
Appartment,Ready To Move,Khayaban-e-Hilal,3 BHK,1192,2,1,62
Appartment,19-Jun,Khayaban-e-Shahbaz,3 BHK,1645,3,2,121
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1250,2,2,72
Appartment,19-Dec,Khayaban-e-Rahat,1 BHK,524 - 894,1,0,34.385
Appartment,Ready To Move,Khayaban-e-Muhafiz,2 BHK,1340,2,1,77
House,Ready To Move,Khayaban-e-Bukhari,3 BHK,2388,4,3,239
Appartment,18-Jun,Khayaban-e-Nishat,2 BHK,1369.1,2,1,104
Appartment,Ready To Move,Commercial Avenue,2 BHK,1355,2,3,75
House,Ready To Move,Khayaban-e-Hafiz,2 BHK,1150,2,2,65
Appartment,19-Dec,Khayaban-e-Muslim,3 BHK,1938,3,3,113
Appartment,19-Jun,Khayaban-e-Shaheen,4 BHK,2462,4,3,124
Appartment,Ready To Move,Khayaban-e-Shujaat,3 BHK,1636,3,2,85
Appartment,Ready To Move,Jamshed Quarter,3 BHK,1430,2,2,75
Appartment,Ready To Move,Saba Avenue,3 BHK,2000,3,2,85
Carpet  Area,18-May,Beach Avenue,3 BHK,993,2,2,50
Plot,Ready To Move,Khayaban-e-Mujahid,4 Bedroom,1260,4,1,150
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1700,3,3,88
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1270,2,2,78
Plot,18-Apr,Khayaban-e-Tanzeem,3 Bedroom,1500,3,1,121
House,Ready To Move,Khayaban-e-Tauheed,3 BHK,2300,3,3,290
Plot,18-Mar,Khayabane-e-Amir Khusro,4 Bedroom,7500,4,2,900
Appartment,Ready To Move,Khayaban-e-Tariq,3 BHK,1650,3,3,86.45
Appartment,Ready To Move,Khaliq-uz-Zaman,2 BHK,1109,2,1,63
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1280,2,1,49.75
House,Ready To Move,Muslimabad,4 Bedroom,2885,3,1,185
Plot,Ready To Move,Gulshan-E-Iqbal one,9 Bedroom,1200,9,1,145
Plot,Ready To Move,Gulshan-E-Iqbal two,3 Bedroom,1600,3,2,180
Appartment,Ready To Move,PIB Colony,3 BHK,1462,3,3,71
Appartment,19-Mar,DHA Defence,1 BHK,607,1,1,35
Appartment,Ready To Move,North Nazimabad,2 BHK,930,2,0,25
Plot,17-Nov,Saddar Town,4 Bedroom,4500,5,2,300
Plot,Ready To Move,Gulshan-e-Iqbal Town,5 Bedroom,1200,5,,160
Appartment,Ready To Move,Tariq Road,3 BHK,2600,3,1,237
Appartment,Ready To Move,Clifton,4 BHK,3000,4,2,140
Appartment,18-May,Frere Town,3 BHK,1418,3,2,52.47
House,Ready To Move,Nazimabad,2 Bedroom,4200,1,2,160
House,Ready To Move,Khalid Bin Walid Road,2 BHK,1125,2,1,65
Appartment,Ready To Move,Garden West,3 BHK,1825,3,2,126
Appartment,Ready To Move,Clifton,2 BHK,1320,2,3,79.5
House,Ready To Move,Clifton,4 Bedroom,3000,4,2,140
Appartment,Ready To Move,Gulistan-e-Jauhar ,3 BHK,1490,2,2,300
